model_type,model,goal_type,game_type,succeed_count,total_solver_errors,total_solver_fixed,total_simulation_errors,total_simulation_fixed,total_abort_solver,total_abort_simulation,avg_steps_success,avg_steps_failure,trial_count
PDDL,deepseek,detailed,basic&use,5,45.0,30.0,7,5,15.0,2,3.0,4.133333333333334,20
PDDL,deepseek,detailed,clean,4,84.0,70.0,12,7,14.0,5,20.25,1.9375,20
PDDL,deepseek,detailed,cool,4,100.0,90.0,16,8,10.0,8,4.0,6.3125,20
PDDL,deepseek,detailed,heat,6,56.0,43.0,7,5,13.0,2,8.833333333333334,2.4285714285714284,20
PDDL,deepseek,detailed,slice+,0,74.0,59.0,5,0,15.0,5,,5.3,20
PDDL,deepseek,subgoal,basic&use,3,44.0,34.0,15,6,10.0,9,2.6666666666666665,1.2941176470588236,20
PDDL,deepseek,subgoal,clean,0,36.0,17.0,7,0,19.0,7,,1.0,20
PDDL,deepseek,subgoal,cool,1,49.0,34.0,13,1,15.0,12,1.0,1.0,20
PDDL,deepseek,subgoal,heat,1,42.0,27.0,10,1,15.0,9,1.0,1.0,20
PDDL,deepseek,subgoal,slice+,0,27.0,9.0,4,0,18.0,4,,1.0,20
PDDL,gpt-4.1-2025-04-14,detailed,basic&use,3,37.0,20.0,15,11,17.0,4,17.333333333333332,15.117647058823529,20
PDDL,gpt-4.1-2025-04-14,detailed,clean,1,35.0,21.0,18,11,14.0,7,41.0,20.473684210526315,20
PDDL,gpt-4.1-2025-04-14,detailed,cool,1,35.0,22.0,11,10,13.0,1,33.0,33.578947368421055,20
PDDL,gpt-4.1-2025-04-14,detailed,heat,2,34.0,18.0,14,10,16.0,4,31.0,18.22222222222222,20
PDDL,gpt-4.1-2025-04-14,detailed,slice+,0,40.0,23.0,16,14,17.0,2,,31.35,20
PDDL,gpt-4.1-2025-04-14,subgoal,basic&use,0,27.0,7.0,5,0,20.0,5,,1.3,20
PDDL,gpt-4.1-2025-04-14,subgoal,clean,0,27.0,7.0,3,1,20.0,2,,1.4,20
PDDL,gpt-4.1-2025-04-14,subgoal,cool,0,24.0,4.0,2,0,20.0,2,,1.2,20
PDDL,gpt-4.1-2025-04-14,subgoal,heat,0,22.0,2.0,1,1,20.0,0,,1.05,20
PDDL,gpt-4.1-2025-04-14,subgoal,slice+,0,23.0,4.0,4,0,19.0,4,,1.2,20
PDDL,gpt-4o-2024-05-13,detailed,basic&use,1,45.0,33.0,30,22,12.0,8,7.0,7.526315789473684,20
PDDL,gpt-4o-2024-05-13,detailed,clean,0,30.0,10.0,2,1,20.0,1,,2.55,20
PDDL,gpt-4o-2024-05-13,detailed,cool,0,47.0,29.0,13,7,18.0,6,,6.2,20
PDDL,gpt-4o-2024-05-13,detailed,heat,0,30.0,12.0,4,0,18.0,4,,4.7,20
PDDL,gpt-4o-2024-05-13,detailed,slice+,0,31.0,13.0,8,6,18.0,2,,3.55,20
PDDL,gpt-4o-2024-05-13,subgoal,basic&use,0,30.0,13.0,7,3,17.0,4,,1.2,20
PDDL,gpt-4o-2024-05-13,subgoal,clean,0,27.0,10.0,8,1,17.0,7,,1.1578947368421053,19
PDDL,gpt-4o-2024-05-13,subgoal,cool,0,32.0,15.0,7,2,17.0,5,,1.2,20
PDDL,gpt-4o-2024-05-13,subgoal,heat,0,25.0,6.0,2,0,19.0,2,,1.0526315789473684,19
PDDL,gpt-4o-2024-05-13,subgoal,slice+,0,23.0,4.0,3,0,19.0,3,,1.05,20
PDDL,o3-mini-2025-01-31,detailed,basic&use,11,35.0,27.0,21,19,8.0,2,8.636363636363637,6.222222222222222,20
PDDL,o3-mini-2025-01-31,detailed,clean,9,51.0,45.0,23,16,6.0,7,15.666666666666666,22.272727272727273,20
PDDL,o3-mini-2025-01-31,detailed,cool,11,60.0,54.0,31,25,6.0,6,31.363636363636363,30.22222222222222,20
PDDL,o3-mini-2025-01-31,detailed,heat,6,80.0,74.0,39,30,6.0,9,27.166666666666668,18.0,20
PDDL,o3-mini-2025-01-31,detailed,slice+,1,70.0,66.0,29,16,4.0,13,13.0,29.05263157894737,20
PDDL,o3-mini-2025-01-31,subgoal,basic&use,7,73.0,67.0,24,14,6.0,10,3.4285714285714284,2.769230769230769,20
